,number_in_list,fold_enrichment,fdr,expected,number_in_reference,pValue,plus_minus,id,label,main_category
19,2,49.19631901840491,0.18972490343518603,0.040653448060855,2,0.0023052843673770002,+,GO:0004795,threonine synthase activity,molecularFunction
15,21,2.04578752353763,0.19737351805184702,10.264995635366006,505,0.0019185761171500002,+,GO:0005524,ATP binding,molecularFunction
18,2,49.19631901840491,0.19971042466861702,0.040653448060855,2,0.0023052843673770002,+,GO:0001217,DNA-binding transcription repressor activity,molecularFunction
21,22,1.971437191994368,0.19995854505615202,11.159371492704825,549,0.0026725929472870003,+,GO:0017076,purine nucleotide binding,molecularFunction
22,8,3.482925240241055,0.200061821401637,2.296919815438333,113,0.0027955175529990003,+,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",molecularFunction
16,23,1.961031780629658,0.202968862178859,11.728519765556802,577,0.002096276219344,+,GO:0032553,ribonucleotide binding,molecularFunction
20,22,1.975034705118445,0.206831921829977,11.139044768674399,548,0.002638803376931,+,GO:0032555,purine ribonucleotide binding,molecularFunction
23,0,0.0,0.207190727650949,6.3419378974934535,312,0.003021006964533,-,GO:0004386,helicase activity,molecularFunction
29,2,32.79754601226994,0.20804808283706402,0.06098017209128301,3,0.0037918848633720003,+,GO:0004779,sulfate adenylyltransferase activity,molecularFunction
17,22,2.023026202625996,0.20948981863527702,10.874797356278837,535,0.00229089716612,+,GO:0035639,purine ribonucleoside triphosphate binding,molecularFunction
28,2,32.79754601226994,0.21522215465903102,0.06098017209128301,3,0.0037918848633720003,+,GO:0004781,sulfate adenylyltransferase (ATP) activity,molecularFunction
25,21,1.99060250363488,0.21556373063317502,10.549569771791994,519,0.0034050164012530003,+,GO:0030554,adenyl nucleotide binding,molecularFunction
24,21,1.994445365611009,0.22204284793248502,10.529243047761566,518,0.0033724612383420004,+,GO:0032559,adenyl ribonucleotide binding,molecularFunction
27,2,32.79754601226994,0.22290866018256802,0.06098017209128301,3,0.0037918848633720003,+,GO:0016417,S-acyltransferase activity,molecularFunction
30,23,1.86104496286729,0.228865417350361,12.358648210500064,608,0.004310345041227,+,GO:0097367,carbohydrate derivative binding,molecularFunction
26,2,32.79754601226994,0.23116453648562602,0.06098017209128301,3,0.0037918848633720003,+,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity,molecularFunction
34,2,24.598159509202453,0.263997128712258,0.08130689612171,4,0.0056135476943670005,+,GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",molecularFunction
36,4,5.963190184049079,0.26732831995564205,0.6707818930041151,33,0.006009202817957001,+,GO:0050661,NADP binding,molecularFunction
33,2,24.598159509202453,0.271761750144971,0.08130689612171,4,0.0056135476943670005,+,GO:0033283,ATPase-coupled organic acid transmembrane transporter activity,molecularFunction
35,7,3.3762179718513172,0.272575271019217,2.073325851103629,102,0.005961549062388,+,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",molecularFunction
32,2,24.598159509202453,0.279996954694819,0.08130689612171,4,0.0056135476943670005,+,GO:0033284,ATPase-coupled carboxylic acid transmembrane transporter activity,molecularFunction
31,2,24.598159509202453,0.288746859529032,0.08130689612171,4,0.0056135476943670005,+,GO:0015424,ATPase-coupled amino acid transmembrane transporter activity,molecularFunction
37,8,2.937093672740591,0.31805300667951303,2.723781020077316,134,0.007342657505359001,+,GO:0003723,RNA binding,molecularFunction
38,2,19.67852760736196,0.32736394817992104,0.101633620152138,5,0.007756496949585001,+,GO:0003916,DNA topoisomerase activity,molecularFunction
40,2,16.39877300613497,0.409788433933345,0.12196034418256602,6,0.010207366823370001,+,GO:0008169,C-methyltransferase activity,molecularFunction
39,2,16.39877300613497,0.420033144781678,0.12196034418256602,6,0.010207366823370001,+,GO:0003984,acetolactate synthase activity,molecularFunction
41,2,14.056091148115687,0.5076417198092961,0.142287068212994,7,0.012953190906434,+,GO:0009927,histidine phosphotransfer kinase activity,molecularFunction
42,5,3.6173763984121248,0.571559230714697,1.3822172340690861,68,0.014931377230092002,+,GO:0016835,carbon-oxygen lyase activity,molecularFunction
44,2,12.299079754601227,0.584563795475052,0.162613792243421,8,0.015981391735344002,+,GO:0016624,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",molecularFunction
45,8,2.522888154789995,0.593328995172634,3.170968948746726,156,0.016581490752090002,+,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",molecularFunction
43,2,12.299079754601227,0.5978493362813031,0.162613792243421,8,0.015981391735344002,+,GO:0016838,"carbon-oxygen lyase activity, acting on phosphates",molecularFunction
46,4,4.2779407842091235,0.6014638175571551,0.9350293053996751,46,0.017174240234013,+,GO:0020037,heme binding,molecularFunction
47,4,4.016026042318768,0.7154073047671471,0.996009477490958,49,0.020862424440354,+,GO:0051287,NAD binding,molecularFunction
80,1,49.19631901840491,0.8016440308824471,0.020326724030427002,1,0.039449068348407,+,GO:0004664,prephenate dehydratase activity,molecularFunction
79,1,49.19631901840491,0.8116645812684781,0.020326724030427002,1,0.039449068348407,+,GO:0004316,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,molecularFunction
48,23,1.6210821453056061,0.812313712378507,14.188053373238558,698,0.024181878436541,+,GO:0016491,oxidoreductase activity,molecularFunction
78,1,49.19631901840491,0.821938816474408,0.020326724030427002,1,0.039449068348407,+,GO:0004318,enoyl-[acyl-carrier-protein] reductase (NADH) activity,molecularFunction
77,1,49.19631901840491,0.832476493608695,0.020326724030427002,1,0.039449068348407,+,GO:0004018,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity",molecularFunction
76,1,49.19631901840491,0.8432878766425741,0.020326724030427002,1,0.039449068348407,+,GO:0016631,enoyl-[acyl-carrier-protein] reductase activity,molecularFunction
75,1,49.19631901840491,0.854383769756292,0.020326724030427002,1,0.039449068348407,+,GO:0004072,aspartate kinase activity,molecularFunction
74,1,49.19631901840491,0.865775553353043,0.020326724030427002,1,0.039449068348407,+,GO:1990610,acetolactate synthase regulator activity,molecularFunction
49,2,8.94478527607362,0.87699215289702,0.22359396433470502,11,0.026640101849848,+,GO:0003729,mRNA binding,molecularFunction
73,1,49.19631901840491,0.8774752229929491,0.020326724030427002,1,0.039449068348407,+,GO:0016002,sulfite reductase activity,molecularFunction
72,1,49.19631901840491,0.8894954315270991,0.020326724030427002,1,0.039449068348407,+,GO:0070626,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,molecularFunction
81,3,3.988890731222019,0.8995410089186021,0.7520887891258261,37,0.044813100079784,+,GO:1901681,sulfur compound binding,molecularFunction
71,1,49.19631901840491,0.9018495347427531,0.020326724030427002,1,0.039449068348407,+,GO:0033294,ectoine binding,molecularFunction
70,1,49.19631901840491,0.91455164086589,0.020326724030427002,1,0.039449068348407,+,GO:0003983,UTP:glucose-1-phosphate uridylyltransferase activity,molecularFunction
104,1,24.598159509202453,0.9184622142915251,0.040653448060855,2,0.058589630923821,+,GO:0004314,[acyl-carrier-protein] S-malonyltransferase activity,molecularFunction
105,9,1.900287000710919,0.924993528564175,4.736126699089662,233,0.059568234524788,+,GO:0016301,kinase activity,molecularFunction
103,1,24.598159509202453,0.9272935817366351,0.040653448060855,2,0.058589630923821,+,GO:0001072,"transcription antitermination factor activity, RNA binding",molecularFunction
69,1,49.19631901840491,0.9276166643068321,0.020326724030427002,1,0.039449068348407,+,GO:0004448,isocitrate dehydrogenase activity,molecularFunction
102,1,24.598159509202453,0.9362964320447581,0.040653448060855,2,0.058589630923821,+,GO:0004333,fumarate hydratase activity,molecularFunction
68,1,49.19631901840491,0.9410603840793951,0.020326724030427002,1,0.039449068348407,+,GO:0070041,rRNA (uridine-C5-)-methyltransferase activity,molecularFunction
101,1,24.598159509202453,0.9454758088295111,0.040653448060855,2,0.058589630923821,+,GO:0033817,beta-ketoacyl-acyl-carrier-protein synthase II activity,molecularFunction
100,1,24.598159509202453,0.9548369554515851,0.040653448060855,2,0.058589630923821,+,GO:0016673,"oxidoreductase activity, acting on a sulfur group of donors, iron-sulfur protein as acceptor",molecularFunction
67,1,49.19631901840491,0.9548995073746801,0.020326724030427002,1,0.039449068348407,+,GO:0004450,isocitrate dehydrogenase (NADP+) activity,molecularFunction
99,1,24.598159509202453,0.9643853250061011,0.040653448060855,2,0.058589630923821,+,GO:0004412,homoserine dehydrogenase activity,molecularFunction
109,2,5.1785598966742,0.968016064711903,0.386207756578127,19,0.064691231542107,+,GO:0003924,GTPase activity,molecularFunction
66,1,49.19631901840491,0.9691517388280331,0.020326724030427002,1,0.039449068348407,+,GO:0004124,cysteine synthase activity,molecularFunction
83,6,2.32423554417661,0.969772692179742,2.581493951864322,127,0.049490222444166,+,GO:0004672,protein kinase activity,molecularFunction
82,2,6.149539877300613,0.9714130138361351,0.325227584486843,16,0.048983766797326,+,GO:0030976,thiamine pyrophosphate binding,molecularFunction
106,8,2.049846625766871,0.973280847828575,3.902731013842124,192,0.063269168115223,+,GO:0016829,lyase activity,molecularFunction
98,1,24.598159509202453,0.9741265909152531,0.040653448060855,2,0.058589630923821,+,GO:0008817,"cob(I)yrinic acid a,c-diamide adenosyltransferase activity",molecularFunction
108,4,2.733128834355827,0.975923666205399,1.463524130190797,72,0.064626779839847,+,GO:0070279,vitamin B6 binding,molecularFunction
65,1,49.19631901840491,0.9838358560830031,0.020326724030427002,1,0.039449068348407,+,GO:0004149,dihydrolipoyllysine-residue succinyltransferase activity,molecularFunction
97,1,24.598159509202453,0.9840666581694911,0.040653448060855,2,0.058589630923821,+,GO:0004470,malic enzyme activity,molecularFunction
107,4,2.733128834355827,0.9849599964480411,1.463524130190797,72,0.064626779839847,+,GO:0030170,pyridoxal phosphate binding,molecularFunction
51,4,3.514022787028922,0.988964085962688,1.138296545703953,56,0.031243093845722002,+,GO:0046906,tetrapyrrole binding,molecularFunction
50,2,8.199386503067485,0.9901646046226571,0.24392068836513203,12,0.030679462233144,+,GO:0070566,adenylyltransferase activity,molecularFunction
96,1,24.598159509202453,0.9942116752640211,0.040653448060855,2,0.058589630923821,+,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,molecularFunction
64,1,49.19631901840491,0.9989717923304341,0.020326724030427002,1,0.039449068348407,+,GO:0102131,3-oxo-glutaryl-[acp] methyl ester reductase activity,molecularFunction
1116,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004549,tRNA-specific ribonuclease activity,molecularFunction
1111,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008909,isochorismate synthase activity,molecularFunction
1130,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0036374,glutathione hydrolase activity,molecularFunction
1129,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102500,beta-maltose 4-alpha-glucanotransferase activity,molecularFunction
1128,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019148,D-cysteine desulfhydrase activity,molecularFunction
1127,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051073,adenosylcobinamide-GDP ribazoletransferase activity,molecularFunction
1126,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051075,S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity,molecularFunction
1112,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0022877,protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity,molecularFunction
1113,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008902,hydroxymethylpyrimidine kinase activity,molecularFunction
1125,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004525,ribonuclease III activity,molecularFunction
1124,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004526,ribonuclease P activity,molecularFunction
1123,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004528,phosphodiesterase I activity,molecularFunction
1114,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004555,"alpha,alpha-trehalase activity",molecularFunction
1121,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0070122,isopeptidase activity,molecularFunction
1120,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030745,dimethylhistidine N-methyltransferase activity,molecularFunction
1119,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0022858,alanine transmembrane transporter activity,molecularFunction
1118,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0047545,2-hydroxyglutarate dehydrogenase activity,molecularFunction
1117,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0070497,"6-carboxy-5,6,7,8-tetrahydropterin synthase activity",molecularFunction
1115,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019171,3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,molecularFunction
1122,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019152,acetoin dehydrogenase activity,molecularFunction
1153,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004831,tyrosine-tRNA ligase activity,molecularFunction
1110,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016802,trialkylsulfonium hydrolase activity,molecularFunction
1143,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004846,urate oxidase activity,molecularFunction
1144,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0009045,xylose isomerase activity,molecularFunction
1145,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0009044,"xylan 1,4-beta-xylosidase activity",molecularFunction
1142,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004853,uroporphyrinogen decarboxylase activity,molecularFunction
1141,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004856,xylulokinase activity,molecularFunction
1140,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0045330,aspartyl esterase activity,molecularFunction
1139,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0003779,actin binding,molecularFunction
1138,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004860,protein kinase inhibitor activity,molecularFunction
1137,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019134,glucosamine-1-phosphate N-acetyltransferase activity,molecularFunction
1136,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0019136,deoxynucleoside kinase activity,molecularFunction
1154,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0009030,thiamine-phosphate kinase activity,molecularFunction
1135,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0042083,"5,10-methylenetetrahydrofolate-dependent methyltransferase activity",molecularFunction
1133,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051060,pullulanase activity,molecularFunction
1132,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004515,nicotinate-nucleotide adenylyltransferase activity,molecularFunction
1131,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030729,acetoacetate-CoA ligase activity,molecularFunction
1146,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004842,ubiquitin-protein transferase activity,molecularFunction
1147,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043139,5'-3' DNA helicase activity,molecularFunction
1148,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0035243,protein-arginine omega-N symmetric methyltransferase activity,molecularFunction
1149,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004833,"tryptophan 2,3-dioxygenase activity",molecularFunction
1150,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0009032,thymidine phosphorylase activity,molecularFunction
1151,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004832,valine-tRNA ligase activity,molecularFunction
1152,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051020,GTPase binding,molecularFunction
1134,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0036009,protein-glutamine N-methyltransferase activity,molecularFunction
1109,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008911,lactaldehyde dehydrogenase activity,molecularFunction
1080,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008965,phosphoenolpyruvate-protein phosphotransferase activity,molecularFunction
1107,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0047570,3-oxoadipate enol-lactonase activity,molecularFunction
1081,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008964,phosphoenolpyruvate carboxylase activity,molecularFunction
1155,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0045303,diaminobutyrate-2-oxoglutarate transaminase activity,molecularFunction
1079,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008966,phosphoglucosamine mutase activity,molecularFunction
1078,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008968,D-sedoheptulose 7-phosphate isomerase activity,molecularFunction
1077,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0031559,oxidosqualene cyclase activity,molecularFunction
1076,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015415,ATPase-coupled phosphate ion transmembrane transporter activity,molecularFunction
1075,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015417,ATPase-coupled polyamine transmembrane transporter activity,molecularFunction
1074,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005351,carbohydrate:proton symporter activity,molecularFunction
1073,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008972,phosphomethylpyrimidine kinase activity,molecularFunction
1082,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005343,organic acid:sodium symporter activity,molecularFunction
1072,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016867,"intramolecular transferase activity, transferring acyl groups",molecularFunction
1070,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016869,"intramolecular transferase activity, transferring amino groups",molecularFunction
1069,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005355,glucose transmembrane transporter activity,molecularFunction
1068,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102250,linear malto-oligosaccharide phosphorylase activity,molecularFunction
1067,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043802,"hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing) activity",molecularFunction
1066,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033743,peptide-methionine (R)-S-oxide reductase activity,molecularFunction
1065,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0033744,L-methionine:thioredoxin-disulfide S-oxidoreductase activity,molecularFunction
1064,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008987,quinolinate synthetase A activity,molecularFunction
1063,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008988,rRNA (adenine-N6-)-methyltransferase activity,molecularFunction
1062,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043814,phospholactate guanylyltransferase activity,molecularFunction
1071,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005353,fructose transmembrane transporter activity,molecularFunction
1083,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015408,ATPase-coupled ferric iron transmembrane transporter activity,molecularFunction
1084,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008959,phosphate acetyltransferase activity,molecularFunction
1085,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005337,nucleoside transmembrane transporter activity,molecularFunction
1106,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102552,lipoyl synthase activity (acting on glycine-cleavage complex H protein,molecularFunction
1105,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102553,lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein),molecularFunction
1104,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102555,octanoyl transferase activity (acting on glycine-cleavage complex H protein),molecularFunction
1103,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004573,mannosyl-oligosaccharide glucosidase activity,molecularFunction
1102,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102559,protein-(glutamine-N5) methyltransferase activity,molecularFunction
1101,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0047580,4-hydroxyproline epimerase activity,molecularFunction
1100,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030788,precorrin-2 C20-methyltransferase activity,molecularFunction
1099,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030429,kynureninase activity,molecularFunction
1098,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004585,ornithine carbamoyltransferase activity,molecularFunction
1097,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004586,ornithine decarboxylase activity,molecularFunction
1096,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004587,ornithine-oxo-acid transaminase activity,molecularFunction
1095,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004588,orotate phosphoribosyltransferase activity,molecularFunction
1094,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0002054,nucleobase binding,molecularFunction
1093,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0002055,adenine binding,molecularFunction
1092,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0030798,trans-aconitate 2-methyltransferase activity,molecularFunction
1091,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0102573,aminodeoxyfutalosine synthase activity,molecularFunction
1090,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004590,orotidine-5'-phosphate decarboxylase activity,molecularFunction
1089,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004592,pantoate-beta-alanine ligase activity,molecularFunction
1088,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0004595,pantetheine-phosphate adenylyltransferase activity,molecularFunction
1087,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0002060,purine nucleobase binding,molecularFunction
1086,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016837,"carbon-oxygen lyase activity, acting on polysaccharides",molecularFunction
1108,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0022883,zinc efflux transmembrane transporter activity,molecularFunction
1156,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0035599,aspartic acid methylthiotransferase activity,molecularFunction
1199,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0009675,high-affinity sulfate:proton symporter activity,molecularFunction
1158,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0035595,N-acetylglucosaminylinositol deacetylase activity,molecularFunction
1227,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0050518,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,molecularFunction
1226,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0009977,proton motive force dependent protein transmembrane transporter activity,molecularFunction
1225,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043714,(R)-citramalate synthase activity,molecularFunction
1224,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008890,glycine C-acetyltransferase activity,molecularFunction
1223,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008531,riboflavin kinase activity,molecularFunction
1222,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016429,tRNA (adenine-N1-)-methyltransferase activity,molecularFunction
1221,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008898,S-adenosylmethionine-homocysteine S-methyltransferase activity,molecularFunction
1220,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0015341,zinc efflux active transmembrane transporter activity,molecularFunction
1219,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0016793,triphosphoric monoester hydrolase activity,molecularFunction
1228,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0008889,glycerophosphodiester phosphodiesterase activity,molecularFunction
1218,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0005283,amino acid:sodium symporter activity,molecularFunction
1216,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043737,deoxyribonuclease V activity,molecularFunction
1215,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0052717,tRNA-specific adenosine-34 deaminase activity,molecularFunction
1214,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0120147,Formylglycine-generating oxidase activity,molecularFunction
1213,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051991,"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity",molecularFunction
1212,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0051992,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity",molecularFunction
1211,0,0.0,1.0,0.020326724030427002,1,1.000000000003873,-,GO:0043743,LPPG:FO 2-phospho-L-lactate transferase activity,molecularFunction
